barangay_Res,date,count_Exposed,count_Infectious,count_Recovered,count_Specimen_age_9_below,count_Specimen_age_10_17,count_Specimen_age_18_39,count_Specimen_age_40_59,count_Specimen_age_60_79,count_Specimen_age_80_above,count_Conf_age_9_below,count_Conf_age_10_17,count_Conf_age_18_39,count_Conf_age_40_59,count_Conf_age_60_79,count_Conf_age_80_above,count_Reco_age_9_below,count_Reco_age_10_17,count_Reco_age_18_39,count_Reco_age_40_59,count_Reco_age_60_79,count_Reco_age_80_above,count_Specimen_Unknown,count_Conf_Unknown,count_Reco_Unknown
Landayan,2024-08-19,34,15,37,1,10,8,2,2,2,1,12,0,1,1,0,0,9,2,10,7,3,9,0,6
Landayan,2024-08-20,45,15,37,9,10,3,9,6,0,11,1,0,1,1,1,6,10,0,3,8,1,8,0,9
Landayan,2024-08-21,34,15,30,2,7,2,0,10,8,3,8,0,2,2,0,8,1,5,2,5,0,5,0,9
Landayan,2024-08-22,40,15,24,10,5,2,9,0,10,7,5,2,1,0,0,7,0,3,2,3,5,4,0,4
Landayan,2024-08-23,37,16,39,2,10,1,8,10,0,6,2,8,0,0,0,8,8,8,2,6,5,6,0,2
Landayan,2024-08-24,34,16,44,6,10,0,8,9,0,16,0,0,0,0,0,2,10,9,10,7,3,1,0,3
Landayan,2024-08-25,28,16,37,4,1,5,10,8,0,2,3,6,2,2,1,1,6,1,8,10,8,0,0,3
Landayan,2024-08-26,35,16,38,9,8,0,5,8,2,14,0,1,1,0,0,1,8,0,9,6,10,3,0,4
Landayan,2024-08-27,30,17,54,8,6,10,4,2,0,0,1,12,2,1,1,8,10,9,7,1,10,0,0,9
Landayan,2024-08-28,39,17,45,8,1,6,6,10,5,16,0,0,1,0,0,0,9,8,10,4,10,3,0,4
Landayan,2024-08-29,39,17,15,6,7,4,3,10,4,15,2,0,0,0,0,0,0,2,1,4,7,5,0,1
Landayan,2024-08-30,35,17,50,6,0,8,4,4,3,14,2,0,1,0,0,10,8,7,7,7,1,10,0,10
Landayan,2024-08-31,32,18,19,5,2,8,5,5,3,4,14,0,0,0,0,0,10,2,0,4,1,4,0,2
Landayan,2024-09-01,30,18,19,0,6,2,6,4,9,10,1,5,2,0,0,3,0,8,6,0,2,3,0,0
Landayan,2024-09-02,57,18,31,7,8,10,10,9,8,12,4,1,0,1,0,0,9,7,4,8,2,5,0,1
Landayan,2024-09-03,36,18,34,5,5,10,10,0,1,3,4,1,3,6,1,8,1,4,2,6,5,5,0,8
Landayan,2024-09-04,33,19,43,4,0,6,8,3,10,10,7,2,0,0,0,2,9,6,9,9,1,2,0,7
Landayan,2024-09-05,31,19,45,7,9,2,7,0,3,8,6,3,2,0,0,4,6,1,8,7,9,3,0,10
Landayan,2024-09-06,29,19,28,0,1,9,3,5,10,16,1,0,1,1,0,0,6,1,6,2,3,1,0,10
Landayan,2024-09-07,34,19,41,4,7,5,4,4,2,18,0,1,0,0,0,5,5,9,9,0,7,8,0,6
Landayan,2024-09-08,34,20,47,0,10,2,3,4,9,17,3,0,0,0,0,9,4,8,1,9,8,6,0,8
Landayan,2024-09-09,31,20,34,2,2,8,10,6,3,10,4,6,0,0,0,3,3,2,7,6,4,0,0,9
Landayan,2024-09-10,39,20,36,6,6,7,9,7,4,5,6,6,3,0,0,3,8,4,2,6,5,0,0,8
Landayan,2024-09-11,43,20,44,8,1,10,10,6,2,5,15,0,0,0,0,3,7,5,6,10,5,6,0,8
Landayan,2024-09-12,43,21,33,0,4,7,4,8,10,8,3,5,1,2,2,10,6,2,6,5,3,10,0,1
Landayan,2024-09-13,27,21,36,0,3,7,0,0,10,4,8,6,1,1,0,4,7,10,2,10,3,7,1,0
Landayan,2024-09-14,34,21,37,7,3,0,5,10,5,6,2,11,2,0,0,4,1,1,10,2,10,4,0,9
Landayan,2024-09-15,31,21,19,1,7,4,0,2,8,9,3,7,2,0,0,7,0,5,2,5,0,9,0,0
Landayan,2024-09-16,56,22,30,8,9,9,9,7,7,0,20,1,0,0,0,6,2,0,5,10,0,7,1,7
Landayan,2024-09-17,30,22,24,3,6,2,3,4,8,16,1,3,1,1,0,1,6,3,2,6,0,4,0,6
Landayan,2024-09-18,44,22,31,3,7,2,8,8,9,22,0,0,0,0,0,5,0,6,5,2,4,7,0,9
Landayan,2024-09-19,44,22,25,7,8,7,8,6,6,12,6,1,0,2,1,6,2,0,6,1,4,2,0,6
Landayan,2024-09-20,35,22,36,0,5,2,3,7,9,15,4,2,0,1,0,2,8,10,2,5,9,9,0,0
Landayan,2024-09-21,46,23,34,8,10,8,2,8,1,21,2,0,0,0,0,3,5,6,9,0,4,9,0,7
Landayan,2024-09-22,48,23,29,10,3,9,10,6,4,10,6,6,1,0,0,0,7,2,1,8,10,6,0,1
Landayan,2024-09-23,37,23,39,5,5,8,9,2,5,18,3,0,2,0,0,8,0,6,9,3,7,3,0,6
Landayan,2024-09-24,36,23,35,4,8,5,6,5,3,18,0,2,0,2,0,6,5,3,9,2,4,5,1,6
Landayan,2024-09-25,45,23,32,7,8,3,6,8,4,4,13,6,0,0,0,0,6,5,3,2,8,9,0,8
Landayan,2024-09-26,44,24,44,9,8,3,6,10,5,5,17,2,0,0,0,5,4,3,9,5,10,3,0,8
Landayan,2024-09-27,31,24,38,7,6,8,0,6,3,2,20,0,2,0,0,8,9,9,9,2,1,1,0,0
Landayan,2024-09-28,21,24,39,8,0,5,0,7,1,18,6,0,0,0,0,2,9,10,4,5,4,0,0,5
Landayan,2024-09-29,35,24,44,10,1,1,8,4,2,11,7,2,1,2,0,3,6,4,7,10,8,9,1,6
Landayan,2024-09-30,32,24,32,4,5,10,2,0,9,14,5,5,0,0,0,7,0,2,10,9,2,2,0,2
Landayan,2024-10-01,29,25,38,3,8,3,2,1,7,14,0,0,6,4,1,4,1,2,4,7,10,5,0,10
Landayan,2024-10-02,34,25,38,0,0,1,6,9,8,23,1,0,1,0,0,6,3,2,6,10,5,10,0,6
Landayan,2024-10-03,38,25,39,4,4,3,0,8,9,3,13,1,5,2,0,7,9,2,0,9,2,10,1,10
Landayan,2024-10-04,25,25,54,4,3,1,6,7,2,16,0,8,1,0,0,2,9,10,5,10,9,2,0,9
Landayan,2024-10-05,41,25,31,10,7,4,1,6,10,7,1,13,3,1,0,0,4,3,9,6,9,3,0,0
Landayan,2024-10-06,33,26,29,8,9,6,4,1,2,13,1,2,6,0,0,7,6,4,0,2,10,3,4,0
Landayan,2024-10-07,43,26,47,8,7,4,7,1,9,6,17,3,0,0,0,8,8,5,6,7,5,7,0,8
Landayan,2024-10-08,18,26,31,2,9,4,0,1,0,8,13,0,3,1,1,0,8,0,8,8,6,2,0,1
Landayan,2024-10-09,36,26,19,9,5,4,7,3,4,10,5,4,1,5,0,5,0,3,3,1,1,4,1,6
Landayan,2024-10-10,31,26,31,8,1,7,1,1,7,10,13,1,2,0,0,6,1,3,3,5,3,6,0,10
Landayan,2024-10-11,42,26,31,4,3,6,6,7,9,2,15,7,1,1,0,3,6,9,0,7,0,7,0,6
Landayan,2024-10-12,19,27,26,2,2,2,2,7,4,17,10,0,0,0,0,2,1,3,0,8,4,0,0,8
Landayan,2024-10-13,23,27,38,1,0,2,7,1,4,2,7,13,2,3,0,2,5,6,10,4,1,8,0,10
Landayan,2024-10-14,29,27,38,8,2,2,7,3,0,21,6,0,0,0,0,8,8,0,3,5,7,7,0,7
Landayan,2024-10-15,28,27,38,8,3,0,7,4,2,2,12,13,0,0,0,5,10,2,8,0,8,4,0,5
Landayan,2024-10-16,41,27,39,1,5,10,10,8,2,26,0,1,0,0,0,1,7,6,6,10,4,5,0,5
Landayan,2024-10-17,39,27,22,7,1,7,10,1,10,23,0,0,2,1,1,8,7,2,0,4,1,3,0,0
Landayan,2024-10-18,49,27,39,9,10,9,6,4,4,2,24,0,1,0,0,8,5,7,7,3,5,7,0,4
Landayan,2024-10-19,23,28,45,1,9,3,3,2,2,1,15,5,3,0,3,8,6,10,10,6,4,3,1,1
Landayan,2024-10-20,32,28,20,2,6,3,1,6,5,12,14,0,1,1,0,3,1,3,3,7,2,9,0,1
Landayan,2024-10-21,29,28,35,9,10,0,1,2,5,28,0,0,0,0,0,9,0,10,8,4,3,2,0,1
Landayan,2024-10-22,32,28,45,0,8,4,7,4,4,15,11,0,2,0,0,3,10,8,9,4,10,5,0,1
Landayan,2024-10-23,30,28,6,0,5,6,5,2,2,10,4,1,1,5,4,0,0,2,0,0,4,10,3,0
Landayan,2024-10-24,30,28,29,6,0,1,2,4,10,18,4,4,0,0,1,9,4,1,7,2,0,7,1,6
Landayan,2024-10-25,23,28,46,1,1,5,6,7,2,20,8,0,0,0,0,6,7,7,3,10,7,1,0,6
Landayan,2024-10-26,31,28,39,2,10,9,4,0,5,17,9,2,0,0,0,10,2,8,8,3,7,1,0,1
Landayan,2024-10-27,33,28,25,1,9,5,4,1,8,9,13,6,0,0,0,1,9,1,2,0,3,5,0,9
Landayan,2024-10-28,33,29,35,9,3,1,2,4,6,21,7,0,1,0,0,6,4,8,8,6,0,8,0,3
Landayan,2024-10-29,37,29,34,3,5,5,9,10,3,18,7,4,0,0,0,10,6,6,0,4,5,2,0,3
Landayan,2024-10-30,49,29,38,10,3,2,7,9,8,15,10,4,0,0,0,2,3,6,8,4,5,10,0,10
Landayan,2024-10-31,31,29,38,7,8,1,5,0,6,15,9,3,1,1,0,1,8,10,1,8,6,4,0,4
Landayan,2024-11-01,44,29,26,6,8,8,10,4,2,27,0,0,1,0,1,9,2,0,0,4,4,6,0,7
Landayan,2024-11-02,26,29,36,2,7,3,7,3,0,8,1,13,7,0,0,8,7,7,0,8,2,4,0,4
Landayan,2024-11-03,36,29,37,9,0,6,4,5,9,15,1,13,0,0,0,6,0,6,9,5,6,3,0,5
Landayan,2024-11-04,39,29,28,3,9,10,2,10,5,9,17,2,1,0,0,0,1,9,6,4,3,0,0,5
Landayan,2024-11-05,20,29,43,3,3,0,9,0,2,12,0,1,11,3,0,10,5,6,6,7,8,3,2,1
Landayan,2024-11-06,32,29,42,2,10,6,4,0,5,24,3,1,0,0,1,9,8,5,5,6,8,5,0,1
Landayan,2024-11-07,44,29,44,10,9,1,5,10,2,15,1,7,6,0,0,2,5,8,8,8,5,7,0,8
Landayan,2024-11-08,39,29,42,10,4,6,7,5,7,27,0,2,0,0,0,7,9,8,6,0,10,0,0,2
Landayan,2024-11-09,38,29,33,3,6,7,1,8,10,8,14,6,0,0,1,4,9,7,1,2,6,3,0,4
Landayan,2024-11-10,44,29,36,8,2,9,7,8,2,25,2,0,2,0,0,2,2,6,10,5,10,8,0,1
Landayan,2024-11-11,38,29,37,7,10,8,1,2,1,14,8,0,7,0,0,5,2,4,8,9,0,9,0,9
Landayan,2024-11-12,38,29,33,10,0,0,10,9,6,13,3,7,0,0,3,4,7,3,4,9,5,3,3,1
Landayan,2024-11-13,45,29,23,1,10,8,3,5,9,8,6,3,6,0,2,7,1,4,3,0,3,9,4,5
Landayan,2024-11-14,17,29,46,3,2,1,1,0,8,22,0,0,5,2,0,9,4,8,10,4,5,2,0,6
Landayan,2024-11-15,33,29,38,7,0,5,2,9,4,11,2,15,1,0,0,7,9,5,4,2,2,6,0,9
Landayan,2024-11-16,27,29,48,4,4,9,0,9,0,4,2,5,1,12,4,7,6,10,2,10,7,1,1,6
Landayan,2024-11-17,37,29,46,3,8,1,4,3,10,19,9,0,0,1,0,2,5,10,10,10,7,8,0,2
Landayan,2024-11-18,25,29,35,5,0,1,8,4,2,22,3,4,0,0,0,6,7,3,9,0,6,5,0,4
Landayan,2024-11-19,42,29,25,6,6,8,9,10,2,1,20,7,1,0,0,0,9,6,6,4,0,1,0,0
Landayan,2024-11-20,48,29,26,9,8,8,6,1,8,1,19,8,1,0,0,2,1,10,0,4,9,8,0,0
Landayan,2024-11-21,23,29,31,7,1,3,1,1,1,12,16,1,0,0,0,4,3,3,2,8,2,9,0,9
Landayan,2024-11-22,46,29,26,10,5,7,7,8,0,27,2,0,0,0,0,3,6,1,1,6,5,9,0,4
Landayan,2024-11-23,27,29,32,1,3,3,3,9,3,8,13,4,3,0,0,8,3,2,3,8,4,5,1,4
Landayan,2024-11-24,30,29,33,5,6,5,3,3,5,8,14,3,2,2,0,1,4,7,3,0,10,3,0,8
Landayan,2024-11-25,36,29,42,7,2,10,5,1,5,17,1,5,3,0,1,5,6,5,3,9,7,6,2,7
Landayan,2024-11-26,29,29,29,8,7,1,6,1,4,2,0,24,2,0,1,3,7,3,6,3,5,2,0,2
Landayan,2024-11-27,26,29,32,3,4,6,4,4,2,22,4,0,0,3,0,10,1,5,1,4,2,3,0,9
Landayan,2024-11-28,43,29,39,5,9,1,10,0,9,6,23,0,0,0,0,4,3,1,10,10,8,9,0,3
Landayan,2024-11-29,22,29,34,5,0,9,0,6,0,17,4,4,4,0,0,7,6,1,3,7,4,2,0,6
Landayan,2024-11-30,39,29,37,5,3,10,2,6,3,29,0,0,0,0,0,5,2,4,6,6,10,10,0,4
Landayan,2024-12-01,17,29,26,8,2,2,2,0,1,6,14,2,1,3,1,0,5,0,7,3,4,2,2,7
Landayan,2024-12-02,33,29,49,9,0,6,3,3,6,6,9,13,1,0,0,8,2,10,10,9,1,6,0,9
Landayan,2024-12-03,24,29,41,5,0,3,1,10,0,6,19,4,0,0,0,9,2,0,5,5,10,5,0,10
Landayan,2024-12-04,41,29,30,3,0,7,8,10,6,16,11,1,0,0,1,4,5,9,2,0,8,7,0,2
Landayan,2024-12-05,54,29,37,5,9,8,6,7,10,4,14,1,10,0,0,5,5,10,1,9,4,9,0,3
Landayan,2024-12-06,46,29,27,7,7,8,3,3,10,18,2,2,1,6,0,7,7,1,3,3,6,8,0,0
Landayan,2024-12-07,46,29,20,1,7,9,5,10,6,1,9,14,4,1,0,1,3,6,3,6,1,8,0,0
Landayan,2024-12-08,30,29,38,8,7,8,0,1,6,12,14,2,0,1,0,1,10,5,7,5,4,0,0,6
Landayan,2024-12-09,40,28,48,7,5,5,7,6,6,1,8,6,1,1,9,8,9,6,5,5,8,4,2,7
Landayan,2024-12-10,23,28,28,8,0,8,1,1,2,22,3,1,0,0,0,2,5,2,6,5,3,3,2,5
Landayan,2024-12-11,20,28,46,2,5,3,0,0,4,20,0,4,1,1,2,9,9,9,9,1,1,6,0,8
Landayan,2024-12-12,24,28,24,0,7,3,3,7,0,13,1,10,2,1,0,1,0,8,0,1,4,4,1,10
Landayan,2024-12-13,28,28,29,7,9,3,0,4,5,26,0,1,0,0,0,2,6,10,4,3,4,0,1,0
Landayan,2024-12-14,35,28,46,0,10,8,2,10,0,11,3,9,1,4,0,10,3,9,10,5,2,5,0,7
Landayan,2024-12-15,31,28,34,2,8,6,4,4,5,26,2,0,0,0,0,5,10,1,7,2,7,2,0,2
Landayan,2024-12-16,34,28,48,10,4,4,6,0,5,5,18,2,0,3,0,8,8,7,3,10,4,5,0,8
Landayan,2024-12-17,30,28,29,1,0,4,8,4,10,7,20,0,1,0,0,3,0,2,7,7,5,3,0,5
Landayan,2024-12-18,35,27,40,6,4,10,0,2,5,3,2,11,5,6,0,2,9,7,10,1,8,8,0,3
Landayan,2024-12-19,31,27,28,8,10,0,7,5,1,16,1,3,2,3,0,2,7,3,8,0,6,0,2,2
Landayan,2024-12-20,25,27,36,6,0,2,3,10,4,12,10,3,2,0,0,8,4,2,2,10,9,0,0,1
Landayan,2024-12-21,52,27,37,10,4,10,8,6,9,8,12,5,0,2,0,5,7,8,9,0,4,5,0,4
Landayan,2024-12-22,26,27,27,0,6,7,0,1,2,22,2,0,3,0,0,1,3,9,0,6,0,10,0,8
Landayan,2024-12-23,33,27,36,10,2,5,0,1,5,12,9,6,0,0,0,9,6,2,0,6,7,10,0,6
Landayan,2024-12-24,50,27,33,5,9,9,4,10,6,14,9,2,0,2,0,3,10,0,9,3,4,7,0,4
Landayan,2024-12-25,31,26,44,2,4,1,8,7,5,13,9,0,2,1,1,2,8,10,4,10,5,4,0,5
Landayan,2024-12-26,43,26,31,7,7,3,7,9,0,6,11,0,1,6,2,9,1,6,5,4,6,10,0,0
Landayan,2024-12-27,36,26,48,0,9,8,5,7,6,4,4,16,0,1,1,10,7,10,9,6,5,1,0,1
Landayan,2024-12-28,26,26,37,2,7,3,3,1,10,0,23,3,0,0,0,0,9,3,8,7,4,0,0,6
Landayan,2024-12-29,32,26,43,1,3,0,10,6,5,19,5,2,0,0,0,4,8,2,5,6,10,7,0,8
Landayan,2024-12-30,27,26,20,7,3,3,10,1,3,23,0,0,3,0,0,1,0,8,5,3,3,0,0,0
Landayan,2024-12-31,29,25,39,2,8,2,5,7,1,13,0,6,4,0,1,9,9,1,8,1,2,4,1,9
Landayan,2025-01-01,29,25,42,8,10,0,0,8,0,1,6,8,4,5,1,10,0,5,7,5,8,3,0,7
Landayan,2025-01-02,27,25,54,8,6,2,2,6,3,5,19,1,0,0,0,3,6,9,8,10,9,0,0,9
Landayan,2025-01-03,27,25,36,2,0,0,7,3,9,25,0,0,0,0,0,7,9,0,8,3,2,6,0,7
Landayan,2025-01-04,32,25,46,0,8,0,10,10,0,0,14,11,0,0,0,9,5,8,7,2,7,4,0,8
Landayan,2025-01-05,39,24,21,0,2,6,8,7,9,17,5,2,0,0,0,3,0,0,4,3,6,7,0,5
Landayan,2025-01-06,24,24,42,1,1,8,2,2,2,11,12,0,0,0,1,1,9,6,8,8,8,8,0,2
Landayan,2025-01-07,31,24,31,2,7,4,0,3,5,20,4,0,0,0,0,1,1,4,9,9,5,10,0,2
Landayan,2025-01-08,49,24,46,9,10,10,3,6,1,17,2,3,1,0,1,2,4,7,8,7,8,10,0,10
Landayan,2025-01-09,29,24,44,3,4,5,1,3,6,22,1,0,0,0,1,9,4,5,10,7,4,7,0,5
Landayan,2025-01-10,53,23,35,8,9,10,6,4,9,14,5,1,2,1,0,4,10,1,10,5,0,7,0,5
Landayan,2025-01-11,31,23,26,2,8,6,1,9,5,9,13,1,0,0,0,0,6,2,7,7,3,0,0,1
Landayan,2025-01-12,35,23,39,6,8,4,6,2,3,3,3,8,8,1,0,9,2,4,6,2,6,6,0,10
Landayan,2025-01-13,42,23,33,6,1,7,5,7,6,16,5,1,1,0,0,6,0,3,7,3,10,10,0,4
Landayan,2025-01-14,33,23,34,3,1,3,3,9,9,15,6,1,0,1,0,6,10,1,0,8,7,5,0,2
Landayan,2025-01-15,37,22,30,4,5,7,3,3,7,22,0,0,0,0,0,9,5,9,0,3,2,8,0,2
Landayan,2025-01-16,32,22,37,7,4,6,0,9,5,1,19,2,0,0,0,7,1,9,9,2,4,1,0,5
Landayan,2025-01-17,26,22,32,0,10,4,1,4,4,13,6,1,0,1,0,0,4,9,4,7,5,3,1,3
